Strategy report
Symbol: SPX
Work Time: 3/25/09 - 1/14/19


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;kg_BTFG_STFG_Strat;Sell to Open;-50.0;$806.81;3/25/09;;($353.50);-50.0;
2;kg_BTFG_STFG_Strat;Sell to Open;-50.0;$909.03;5/8/09;;($7,131.00);-100.0;
3;kg_BTFG_STFG_Strat;Sell to Open;-50.0;$910.52;5/12/09;;($4,934.50);-150.0;
4;kg_BTFG_STFG_Strat;Sell to Open;-50.0;$932.49;6/4/09;;($10,549.50);-200.0;
5;kg_BTFG_STFG_Strat;Buy to Close;200.0;$893.46;6/23/09;($749.50);($749.50);0.0;
6;kg_BTFG_STFG_Strat;Sell to Open;-50.0;$978.63;7/27/09;;($927.00);-50.0;
7;kg_BTFG_STFG_Strat;Sell to Open;-50.0;$1,026.63;8/25/09;;($3,286.50);-100.0;
8;kg_BTFG_STFG_Strat;Sell to Open;-50.0;$1,066.60;9/18/09;;($7,401.50);-150.0;
9;kg_BTFG_STFG_Strat;Buy to Close;150.0;$1,029.71;10/2/09;($863.50);($1,613.00);0.0;
10;kg_BTFG_STFG_Strat;Sell to Open;-50.0;$1,088.22;10/19/09;;($2,097.50);-50.0;
11;kg_BTFG_STFG_Strat;Buy to Close;50.0;$1,043.69;10/29/09;$2,226.50;$613.50;0.0;
12;kg_BTFG_STFG_Strat;Sell to Open;-50.0;$1,125.53;12/30/09;;$569.00;-50.0;
13;kg_BTFG_STFG_Strat;Buy to Close;50.0;$1,115.49;1/22/10;$502.00;$1,115.50;0.0;
14;kg_BTFG_STFG_Strat;Buy to Open;50.0;$1,096.93;1/28/10;;$495.50;50.0;
15;kg_BTFG_STFG_Strat;Buy to Open;50.0;$1,090.05;2/2/10;;$2,098.50;100.0;
16;kg_BTFG_STFG_Strat;Sell to Close;-100.0;$1,105.49;2/19/10;$1,200.00;$2,315.50;0.0;
17;kg_BTFG_STFG_Strat;Sell to Open;-50.0;$1,192.06;4/19/10;;$2,042.50;-50.0;
18;kg_BTFG_STFG_Strat;Buy to Close;50.0;$1,188.58;5/3/10;$174.00;$2,489.50;0.0;
19;kg_BTFG_STFG_Strat;Buy to Open;50.0;$1,156.39;5/11/10;;$2,459.50;50.0;
20;kg_BTFG_STFG_Strat;Buy to Open;50.0;$1,084.78;5/24/10;;($2,204.00);100.0;
21;kg_BTFG_STFG_Strat;Sell to Close;-100.0;$1,114.02;6/16/10;($656.50);$1,833.00;0.0;
22;kg_BTFG_STFG_Strat;Buy to Open;50.0;$1,027.65;7/2/10;;$1,579.50;50.0;
23;kg_BTFG_STFG_Strat;Sell to Close;-50.0;$1,092.17;7/23/10;$3,226.00;$5,059.00;0.0;
24;kg_BTFG_STFG_Strat;Buy to Open;50.0;$1,056.28;8/26/10;;$4,606.00;50.0;
25;kg_BTFG_STFG_Strat;Sell to Close;-50.0;$1,102.60;9/7/10;$2,316.00;$7,375.00;0.0;
26;kg_BTFG_STFG_Strat;Sell to Open;-50.0;$1,177.47;10/15/10;;$7,439.00;-50.0;
27;kg_BTFG_STFG_Strat;Sell to Open;-50.0;$1,213.14;11/10/10;;$5,034.50;-100.0;
28;kg_BTFG_STFG_Strat;Buy to Close;100.0;$1,178.33;11/17/10;$1,697.50;$9,072.50;0.0;
29;kg_BTFG_STFG_Strat;Sell to Open;-50.0;$1,280.85;1/20/11;;$9,102.00;-50.0;
30;kg_BTFG_STFG_Strat;Sell to Open;-50.0;$1,302.77;2/3/11;;$7,543.50;-100.0;
31;kg_BTFG_STFG_Strat;Sell to Open;-50.0;$1,318.13;2/10/11;;$5,879.50;-150.0;
32;kg_BTFG_STFG_Strat;Buy to Close;150.0;$1,305.47;3/2/11;($733.00);$8,339.50;0.0;
33;kg_BTFG_STFG_Strat;Buy to Open;50.0;$1,301.19;3/14/11;;$8,099.50;50.0;
